subject,trial,rep,window_idx,label,label_name,window_size,step_size,theta_ratio,alpha_ratio,beta_ratio,gamma_ratio,faa_fp1_fp2,faa_f3_f4,faa_f7_f8,frontal_alpha,frontal_beta,frontal_gamma,temporal_alpha,temporal_beta,occipital_alpha,activity,entropy,beta_alpha_ratio,gamma_beta_ratio,frontal_occipital_alpha_ratio
15,1,1,0,2,positive,1000,500,0.1976547106907636,0.19709801865095614,0.420388057770124,0.1848591476361181,0.4658596135102693,0.3303260766929972,0.8467439125010192,0.04225349596254091,0.08654283774944815,0.027987422998876355,0.021611224992454936,0.04776147893039706,0.027066174584793833,0.8595134019851685,10.13290023803711,2.1328875930474602,0.43973446801296195,1.5611175572296776
15,1,1,1,2,positive,1000,500,0.15634800074758404,0.20231874116325083,0.48444488460175417,0.156888307567341,0.2788165382003793,0.3013610959232693,-0.6426913855287166,0.03208242158052599,0.10910901870261114,0.023444969214097,0.02813049639144083,0.05706730356777712,0.03175527868202554,0.921157956123352,10.223371505737305,2.3944629349373616,0.32385167272018706,1.0103016823993043
15,1,1,2,2,positive,1000,500,0.19093775703011556,0.25505480609414255,0.4136482668924549,0.14035911695495717,-0.18478799381471234,0.051795190716759976,-0.26783424896769237,0.04789582230387168,0.08576099370429802,0.027334591640055805,0.03123899939510011,0.06203055051173578,0.06360770759105026,1.014760136604309,10.114768981933594,1.6218011619760155,0.33931992515244946,0.7529875951815433
15,1,1,3,2,positive,1000,500,0.20118597053370535,0.2576614005475145,0.3877723753641794,0.15338020163966556,0.07484040836650063,0.5315836128133355,1.754761011506174,0.04575855830580622,0.07017377124384439,0.02925548198618344,0.028428140045662076,0.05476483932227438,0.07242802357916905,1.024872064590454,10.093751907348633,1.504968522292605,0.395541794231966,0.6317796582974854
15,1,1,4,2,positive,1000,500,0.1628753889669441,0.23745865449670822,0.4193362942996632,0.18032959604350896,0.41884303644343124,0.5841280085032268,1.093290576270613,0.039948872392869816,0.071376657114115,0.02738734515332908,0.034200905694206085,0.05330588557512783,0.033689397275664265,0.9288373589515686,10.19089412689209,1.7659334350045106,0.4300356778781852,1.1857992058449514
15,1,1,5,2,positive,1000,500,0.17624971289768812,0.2782413144716817,0.39311877777149307,0.1523901453964637,0.37569180079989906,0.7286134170442438,1.9170872174039717,0.03553917989620459,0.06932076524435615,0.026385359456071455,0.02974578920429849,0.05331652536256115,0.09918060422787857,1.618901252746582,9.830541610717773,1.412869647462771,0.3876439764246916,0.35832788668307036
15,1,1,6,2,positive,1000,500,0.19898347397436508,0.2150088380119622,0.40812681723635397,0.1778808200330985,-0.11519411075161923,-0.26872376934291253,1.509455630591893,0.023940758154594732,0.0527722011440801,0.022313031234375558,0.02451386277016354,0.05686789406979642,0.07535980526765164,1.879254937171936,9.983917236328125,1.8981857894217797,0.4358468750495621,0.31768599842721956
15,1,1,7,2,positive,1000,500,0.2301234082679164,0.166058885913407,0.42155725249899034,0.18226038860956448,-0.2663669051340536,-0.12426094988288572,1.1785463817219082,0.020680787010509252,0.0561653248627351,0.01920099396046798,0.025215133117626465,0.06571198538011913,0.030596518538935746,1.229317307472229,9.924878120422363,2.5386000026863966,0.4323501957366211,0.6759193934106552
15,1,1,8,2,positive,1000,500,0.20641254630013722,0.20778211603934132,0.4162492238323847,0.16955605450097078,-0.1321827787835499,0.369022732682863,1.057658905581211,0.029607168343276237,0.07088826637216272,0.02122254123039023,0.03840426784904594,0.0689208235849037,0.0368728800916959,0.9919444918632507,10.052019119262695,2.00329611093041,0.4073425741756268,0.802952203357231
15,1,1,9,2,positive,1000,500,0.20887918522299412,0.21552638411792244,0.41064787064749236,0.1649464954697328,-0.06665457272489306,0.14556304887154914,1.522506522938762,0.029818104093191557,0.055822695334926085,0.020775196005135308,0.036124928249137156,0.06923202051154931,0.03416010151270979,0.8689142465591431,10.187796592712402,1.905324720938175,0.40167374856925964,0.8728924693965732
