subject,trial,rep,window_idx,label,label_name,frontal_engagement_z,posterior_alpha_inhibition_z,frontal_over_occipital_alpha_z,faa_power_left_minus_right_z,faa_activation_left_minus_right_z,prompt_positive_evidence_z,prompt_negative_evidence_z
15,1,1,0,2,positive,0.28236259423349186,-0.4086873861195407,1.5524539623207472,1.0858284523935047,-1.0858284523935047,0.6583500875064522,-1.3260956643966604
15,1,1,1,2,positive,-0.15212637635646567,-0.20667042268947933,0.32394005622114763,0.06789305683174145,-0.06789305683174145,0.24131063036712616,-0.2925772626218203
15,1,1,2,2,positive,0.44871753716051677,1.2587230597814048,-0.24996122155101805,-0.6562919571388649,0.6562919571388649,-0.9737069688652835,1.1593449019766553
15,1,1,3,2,positive,0.6217631280513743,1.599830639856166,-0.5202977219969502,0.9299513249877643,-0.9299513249877643,-1.875992612833946,1.549097936828954
15,1,1,4,2,positive,0.3531849885928451,0.054495215369215665,0.7153615055492256,1.2318199822692402,-1.2318199822692402,-0.10891971141160545,-0.47977803170181976
15,1,1,5,2,positive,1.625306187940166,2.702760463796472,-1.1301917345457626,1.602619696347638,-1.602619696347638,-3.0719288781142167,2.45520323709927
15,1,1,6,2,positive,1.9951633660771246,1.4785883494904062,-1.2208374969029834,0.14090360501329036,-0.14090360501329036,-1.2674475947701225,1.0914254149033356
15,1,1,7,2,positive,0.46187085795273897,-0.44512391925382433,-0.42185052598107436,-0.20477109502232835,0.20477109502232835,0.5267210615851553,-0.4651340852396566
15,1,1,8,2,positive,0.09669475524648709,0.012543300712433841,-0.13852250171464245,0.18491760126776838,-0.18491760126776838,-0.08812508329107509,0.03345717394651152
15,1,1,9,2,positive,-0.1880917487488505,-0.04629421071751936,0.017468989002827624,0.412157149145697,-0.412157149145697,-0.14796575891305397,0.03901716915549209
15,1,1,10,2,positive,-0.18805588865324993,-0.14047919956032956,0.7042091141347379,0.2176288763857931,-0.2176288763857931,0.23998731592556116,-0.3985558123010735
15,1,1,11,2,positive,-0.13920120379667317,-0.48355722759068087,0.9371230090317404,0.5557674555259079,-0.5557674555259079,0.5642753441604006,-0.8825181302082145
15,1,1,12,2,positive,-0.2675147333286976,-0.23227496064925912,-0.3308598981303753,1.0831756033174103,-1.0831756033174103,-0.3282417842762353,0.06691235508027732
15,1,1,13,2,positive,-0.18397391443849684,-0.42975900973712217,-0.14234788872127935,1.9366168977618816,-1.9366168977618816,-0.32455389057009704,-0.26659810815723406
15,1,1,14,2,positive,0.07418308723876413,-0.696471289896596,0.5675830661625869,2.2263990724679217,-2.2263990724679217,0.1682603168744058,-1.0173543665972715
15,1,1,15,2,positive,0.16704182163041897,-0.43228801673580564,0.42940299338365817,1.7936417110936267,-1.7936417110936267,0.03322238470928912,-0.7305104242428442
15,1,1,16,2,positive,0.05304397719372772,-0.07261870705220762,-0.1805350212867028,0.9023468938457412,-0.9023468938457412,-0.2706606055940311,-0.008873185005720083
15,1,1,17,2,positive,0.028854746713228754,-0.47977766042137987,0.20503710640399997,1.5447404388600425,-1.5447404388600425,0.04282813184044193,-0.5967235869799943
15,1,1,18,2,positive,-0.12450394268844772,-0.5599834729688008,1.6115343451914015,0.6880031055168455,-0.6880031055168455,0.8263259052975036,-1.3034986742202777
15,1,1,19,2,positive,-0.4658332596710299,-0.07886301880430666,0.495834090922408,0.3666411155776072,-0.3666411155776072,-0.033350409304436376,-0.0938634344299957
15,1,1,20,2,positive,-0.5757507233778304,0.20426711725562488,0.09819635914299331,0.40758883890178504,-0.40758883890178504,-0.49931485163449896,0.44304429937304346
15,1,1,21,2,positive,-0.6085637548934957,-0.08717032631112717,0.603286040760016,0.23322568455436052,-0.23322568455436052,0.00766919341518045,-0.08453146924438734
15,1,1,22,2,positive,-0.6022356212440825,-0.24296953518592573,0.15601266756764812,0.4421103785100741,-0.4421103785100741,-0.053141575542910435,-0.01985805834770854
15,1,1,23,2,positive,-0.44265448516837846,-0.5174721082370238,0.08031486930226098,0.7629463790607335,-0.7629463790607335,0.14237677659474018,-0.3363023003039651
15,1,1,24,2,positive,-0.21652714752713456,-0.03558611016692298,-0.030528748102460933,0.4634136568466793,-0.4634136568466793,-0.20123707399183527,0.08794183764787476
15,1,1,25,2,positive,0.012855252905123668,-0.68601868430092,2.046234872101864,0.33954754969794165,-0.33954754969794165,1.2591995427372686,-1.7155637468044138
15,1,1,26,2,positive,-0.24363901601506097,0.2668921759660649,0.26135064381553647,-0.29787068749962203,0.29787068749962203,-0.16169807086603238,0.25803636206582714
15,1,1,27,2,positive,-0.0085150417069806,-0.23846232149108892,-0.058336448006641166,0.20372819954459712,-0.20372819954459712,0.1482690917383493,-0.20503657663427804
15,1,1,28,2,positive,-0.02431518758074558,1.2795622387911392,-0.3943573988633789,-0.6135615807257668,0.6135615807257668,-1.2145992406972583,1.4888985320132013
15,1,1,29,2,positive,-0.26872109586881787,0.10019111361137256,-0.34400968348940086,0.24306888145194752,-0.24306888145194752,-0.3854576672147613,0.40655650329048193
15,1,1,30,2,positive,0.09365483992416036,-0.4313615315032259,0.17847947143049164,-0.13113576165657345,0.13113576165657345,0.5657848891736343,-0.567428687180552
15,1,1,31,2,positive,0.009120168634601106,-0.3142380189189522,0.05665001989360743,-1.318142385870009,1.318142385870009,0.7755422103850247,-0.34712311318305644
15,1,1,32,2,positive,-0.1772303516239651,-0.4961995574449201,0.14411769675032995,0.31776754584204375,-0.31776754584204375,0.3792394905396938,-0.47964323000810255
15,1,1,33,2,positive,-0.02426052722279118,-0.31954941124398484,0.2014637807078611,0.21314661796298173,-0.21314661796298173,0.3075682897513476,-0.4081510379865198
15,1,1,34,2,positive,-0.12891168836568537,-0.17739216129484262,0.14473477900849918,0.5804163530236638,-0.5804163530236638,-0.010805592832107358,-0.1853037066162495
15,1,1,35,2,positive,0.26181666085987926,1.6670688714149422,-1.166260075459763,-0.341788033590515,0.341788033590515,-1.8546206650847317,2.119290578714884
15,1,1,36,2,positive,0.34524376801012774,1.5240890613655778,-1.1823992848332148,-0.2213339530455755,0.2213339530455755,-1.7293629159580817,1.9426668197771213
15,1,1,37,2,positive,-0.29424899379876285,-0.8022411467518202,0.04874610172246805,1.2555599008473177,-1.2555599008473177,0.30188688244394946,-0.6794897007136729
15,1,1,38,2,positive,-0.17742518484164188,-0.6809133912005452,0.22540668893430305,1.4362094345469238,-1.4362094345469238,0.21817074771579098,-0.7049041432468758
15,1,1,39,2,positive,0.11273263608372874,-0.6623144208627805,0.11926584985292404,0.5287146458141961,-0.5287146458141961,0.5634090342369327,-0.7783136638311069
15,1,1,40,2,positive,-0.4076333709857354,-0.38689782499863945,0.006768149187760656,0.12366760059534143,-0.12366760059534143,0.21205355086753408,-0.18646521409965208
